Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,zipcode
57,58,58,D43,BMT,Sea Beach / West End / Culver / Brighton,Coney Island - Stillwell Av,Bk,D F N Q,Viaduct,40.577422,-73.98123299999999,11224
58,59,59,B12,BMT,West End,9 Av,Bk,D,Open Cut,40.646291999999995,-73.994324,11220
59,60,60,B13,BMT,West End,Fort Hamilton Pkwy,Bk,D,Elevated,40.640914,-73.994304,11219
60,61,61,B14,BMT,West End,50 St,Bk,D,Elevated,40.63626,-73.994791,11219
61,62,62,B15,BMT,West End,55 St,Bk,D,Elevated,40.631434999999996,-73.995476,11219
62,63,615,B16,BMT,West End,62 St,Bk,D,Elevated,40.626472,-73.996895,11219
63,64,64,B17,BMT,West End,71 St,Bk,D,Elevated,40.619589000000005,-73.998864,11228
64,65,65,B18,BMT,West End,79 St,Bk,D,Elevated,40.613501,-74.00061,11214
65,66,66,B19,BMT,West End,18 Av,Bk,D,Elevated,40.607954,-74.001736,11214
66,67,67,B20,BMT,West End,20 Av,Bk,D,Elevated,40.604556,-73.998168,11214
67,68,68,B21,BMT,West End,Bay Pkwy,Bk,D,Elevated,40.601875,-73.993728,11223
68,69,69,B22,BMT,West End,25 Av,Bk,D,Elevated,40.597704,-73.986829,11214
69,70,70,B23,BMT,West End,Bay 50 St,Bk,D,Elevated,40.588840999999995,-73.983765,11214
70,71,71,N02,BMT,Sea Beach,8 Av,Bk,N,Open Cut,40.635064,-74.011719,11220
71,72,72,N03,BMT,Sea Beach,Fort Hamilton Pkwy,Bk,N,Open Cut,40.631386,-74.005351,11219
72,73,615,N04,BMT,Sea Beach,New Utrecht Av,Bk,N,Open Cut,40.624842,-73.996353,11219
73,74,74,N05,BMT,Sea Beach,18 Av,Bk,N,Open Cut,40.620671,-73.990414,11204
74,75,75,N06,BMT,Sea Beach,20 Av,Bk,N,Open Cut,40.61741,-73.985026,11204
75,76,76,N07,BMT,Sea Beach,Bay Pkwy,Bk,N,Open Cut,40.611815,-73.981848,11204
76,77,77,N08,BMT,Sea Beach,Kings Hwy,Bk,N,Open Cut,40.603922999999995,-73.98035300000001,11223
77,78,78,N09,BMT,Sea Beach,Avenue U,Bk,N,Open Cut,40.597473,-73.979137,11223
78,79,79,N10,BMT,Sea Beach,86 St,Bk,N,Open Cut,40.592721000000004,-73.97823000000001,11223
79,80,80,J12,BMT,Jamaica,121 St,Q,J Z,Elevated,40.700492,-73.828294,11418
80,81,81,J13,BMT,Jamaica,111 St,Q,J,Elevated,40.697418,-73.836345,11418
81,82,82,J14,BMT,Jamaica,104 St,Q,J Z,Elevated,40.695178000000006,-73.84433,11418
82,83,83,J15,BMT,Jamaica,Woodhaven Blvd,Q,J Z,Elevated,40.693878999999995,-73.851576,11421
83,84,84,J16,BMT,Jamaica,85 St - Forest Pkwy,Q,J,Elevated,40.692434999999996,-73.86001,11421
84,85,85,J17,BMT,Jamaica,75 St,Q,J Z,Elevated,40.691324,-73.867139,11421
85,86,86,J19,BMT,Jamaica,Cypress Hills,Bk,J,Elevated,40.689941,-73.87255,11208
86,87,87,J20,BMT,Jamaica,Crescent St,Bk,J Z,Elevated,40.683194,-73.873785,11208
87,88,88,J21,BMT,Jamaica,Norwood Av,Bk,J Z,Elevated,40.68141,-73.880039,11208
88,89,89,J22,BMT,Jamaica,Cleveland St,Bk,J,Elevated,40.679947,-73.884639,11208
89,90,90,J23,BMT,Jamaica,Van Siclen Av,Bk,J Z,Elevated,40.678024,-73.891688,11207
90,91,91,J24,BMT,Jamaica,Alabama Av,Bk,J,Elevated,40.676992,-73.89865400000001,11207
91,92,621,J27,BMT,Jamaica,Broadway Jct,Bk,J Z,Elevated,40.679497999999995,-73.904512,11207
92,93,93,J28,BMT,Jamaica,Chauncey St,Bk,J Z,Elevated,40.682893,-73.91045600000001,11233
93,94,94,J29,BMT,Jamaica,Halsey St,Bk,J,Elevated,40.686370000000004,-73.91655899999999,11221
94,95,95,J30,BMT,Jamaica,Gates Av,Bk,J Z,Elevated,40.68963,-73.92227,11221
95,96,96,J31,BMT,Jamaica,Kosciuszko St,Bk,J,Elevated,40.693342,-73.928814,11221
96,97,97,M11,BMT,Jamaica,Myrtle Av,Bk,J M Z,Elevated,40.697207,-73.93565699999999,11206
97,98,98,M12,BMT,Jamaica,Flushing Av,Bk,J M,Elevated,40.70026,-73.941126,11206
98,99,99,M13,BMT,Jamaica,Lorimer St,Bk,J M,Elevated,40.703869,-73.947408,11206
99,100,100,M14,BMT,Jamaica,Hewes St,Bk,J M,Elevated,40.70687,-73.95343100000001,11211
100,101,101,M16,BMT,Jamaica,Marcy Av,Bk,J M Z,Elevated,40.708359,-73.957757,11211
101,102,625,M18,BMT,Jamaica,Essex St,M,J M Z,Subway,40.718315000000004,-73.987437,10002
102,103,103,M19,BMT,Jamaica,Bowery,M,J Z,Subway,40.720279999999995,-73.993915,10002
103,104,623,M20,BMT,Jamaica,Canal St,M,J Z,Subway,40.718092,-73.999892,10013
104,105,622,M21,BMT,Jamaica,Chambers St,M,J Z,Subway,40.713243,-74.003401,10007
105,106,628,M22,BMT,Jamaica,Fulton St,M,J Z,Subway,40.710374,-74.007582,10038
106,107,107,M23,BMT,Jamaica,Broad St,M,J Z,Subway,40.706476,-74.01105600000001,10004
107,108,108,M01,BMT,Myrtle Av,Middle Village - Metropolitan Av,Q,M,Elevated,40.711396,-73.889601,11385
108,109,109,M04,BMT,Myrtle Av,Fresh Pond Rd,Q,M,Elevated,40.706185999999995,-73.895877,11385
109,110,110,M05,BMT,Myrtle Av,Forest Av,Q,M,Elevated,40.704423,-73.903077,11385
110,111,111,M06,BMT,Myrtle Av,Seneca Av,Q,M,Elevated,40.702762,-73.90774,11385
111,112,630,M08,BMT,Myrtle Av,Myrtle - Wyckoff Avs,Bk,M,Elevated,40.69943,-73.912385,11237
112,113,113,M09,BMT,Myrtle Av,Knickerbocker Av,Bk,M,Elevated,40.698664,-73.91971099999999,11237
113,114,114,M10,BMT,Myrtle Av,Central Av,Bk,M,Elevated,40.697857,-73.927397,11221
114,115,618,L01,BMT,Canarsie,8 Av,M,L,Subway,40.739777000000004,-74.002578,10014
115,116,601,L02,BMT,Canarsie,6 Av,M,L,Subway,40.737334999999995,-73.996786,10011
116,117,602,L03,BMT,Canarsie,Union Sq - 14 St,M,L,Subway,40.734789,-73.99073,10035
117,118,118,L05,BMT,Canarsie,3 Av,M,L,Subway,40.732849,-73.986122,10003
118,119,119,L06,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628,10009
119,120,120,L08,BMT,Canarsie,Bedford Av,Bk,L,Subway,40.717304,-73.956872,11211
120,121,629,L10,BMT,Canarsie,Lorimer St,Bk,L,Subway,40.714063,-73.950275,11211
121,122,122,L11,BMT,Canarsie,Graham Av,Bk,L,Subway,40.714565,-73.944053,11211
122,123,123,L12,BMT,Canarsie,Grand St,Bk,L,Subway,40.711926,-73.94067,11211
123,124,124,L13,BMT,Canarsie,Montrose Av,Bk,L,Subway,40.707739000000004,-73.93985,11206
124,125,125,L14,BMT,Canarsie,Morgan Av,Bk,L,Subway,40.706152,-73.93314699999999,11206
125,126,126,L15,BMT,Canarsie,Jefferson St,Bk,L,Subway,40.706607,-73.922913,11237
126,127,127,L16,BMT,Canarsie,DeKalb Av,Bk,L,Subway,40.703811,-73.918425,11237
127,128,630,L17,BMT,Canarsie,Myrtle - Wyckoff Avs,Bk,L,Subway,40.699814,-73.911586,11385
128,129,129,L19,BMT,Canarsie,Halsey St,Q,L,Subway,40.695602,-73.904084,11385
129,130,130,L20,BMT,Canarsie,Wilson Av,Bk,L,Subway,40.688764,-73.904046,11207
130,131,131,L21,BMT,Canarsie,Bushwick Av - Aberdeen St,Bk,L,Subway,40.682829,-73.905249,11207
131,132,621,L22,BMT,Canarsie,Broadway Jct,Bk,L,Elevated,40.678856,-73.90324,11207
132,133,133,L24,BMT,Canarsie,Atlantic Av,Bk,L,Elevated,40.675345,-73.903097,11207
133,134,134,L25,BMT,Canarsie,Sutter Av,Bk,L,Elevated,40.669367,-73.901975,11207
134,135,135,L26,BMT,Canarsie,Livonia Av,Bk,L,Elevated,40.664038,-73.900571,11207
135,136,136,L27,BMT,Canarsie,New Lots Av,Bk,L,Elevated,40.658733000000005,-73.899232,11207
136,137,137,L28,BMT,Canarsie,E 105 St,Bk,L,At Grade,40.650573,-73.899485,11236
137,138,138,L29,BMT,Canarsie,Canarsie - Rockaway Pkwy,Bk,L,At Grade,40.646654,-73.90185,11236
138,139,627,S01,BMT,Franklin Shuttle,Franklin Av,Bk,S,Elevated,40.680596,-73.955827,11225
139,141,141,S03,BMT,Franklin Shuttle,Park Pl,Bk,S,Open Cut,40.674772,-73.957624,11238
140,142,626,S04,BMT,Franklin Shuttle,Botanic Garden,Bk,S,Open Cut,40.670343,-73.959245,11213
141,143,143,A02,IND,8th Av - Fulton St,Inwood - 207 St,M,A,Subway,40.868072,-73.919899,10034
142,144,144,A03,IND,8th Av - Fulton St,Dyckman St,M,A,Subway,40.865491,-73.92727099999999,10040
143,145,145,A05,IND,8th Av - Fulton St,190 St,M,A,Subway,40.859021999999996,-73.93418,10040
144,146,146,A06,IND,8th Av - Fulton St,181 St,M,A,Subway,40.851695,-73.937969,10033
145,147,147,A07,IND,8th Av - Fulton St,175 St,M,A,Subway,40.847390999999995,-73.939704,10033
146,148,605,A09,IND,8th Av - Fulton St,168 St,M,A C,Subway,40.840719,-73.939561,10032
147,149,149,A10,IND,8th Av - Fulton St,163 St - Amsterdam Av,M,C,Subway,40.836013,-73.939892,10032
148,150,150,A11,IND,8th Av - Fulton St,155 St,M,C,Subway,40.830518,-73.941514,10040
149,151,151,A12,IND,8th Av - Fulton St,145 St,M,A B C D,Subway,40.824783000000004,-73.944216,10031
150,152,152,A14,IND,8th Av - Fulton St,135 St,M,B C,Subway,40.817894,-73.947649,10030
151,153,153,A15,IND,8th Av - Fulton St,125 St,M,A B C D,Subway,40.811109,-73.952343,10027
152,154,154,A16,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882,10026
153,155,155,A17,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,B C,Subway,40.800603,-73.958161,10026
154,156,156,A18,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454,10025
155,157,157,A19,IND,8th Av - Fulton St,96 St,M,B C,Subway,40.791641999999996,-73.96469599999999,10025
156,158,158,A20,IND,8th Av - Fulton St,86 St,M,B C,Subway,40.785868,-73.96891600000001,10024
157,159,159,A21,IND,8th Av - Fulton St,81 St - Museum of Natural History,M,B C,Subway,40.781433,-73.972143,10025
158,160,160,A22,IND,8th Av - Fulton St,72 St,M,B C,Subway,40.775594,-73.97641,10023
159,161,614,A24,IND,8th Av - Fulton St,59 St - Columbus Circle,M,A B C D,Subway,40.768296,-73.981736,10023
160,162,162,A25,IND,8th Av - Fulton St,50 St,M,C E,Subway,40.762456,-73.985984,10019
161,163,611,A27,IND,8th Av - Fulton St,42 St - Port Authority Bus Terminal,M,A C E,Subway,40.757308,-73.989735,10036
162,164,164,A28,IND,8th Av - Fulton St,34 St - Penn Station,M,A C E,Subway,40.752287,-73.993391,10011
163,165,165,A30,IND,8th Av - Fulton St,23 St,M,C E,Subway,40.745906,-73.998041,10011
164,166,618,A31,IND,8th Av - Fulton St,14 St,M,A C E,Subway,40.740893,-74.00169,10011
165,167,167,A32,IND,8th Av - Fulton St,W 4 St,M,A B C D E F M,Subway,40.732338,-74.000495,10014
166,168,168,A33,IND,8th Av - Fulton St,Spring St,M,C E,Subway,40.726227,-74.003739,10012
167,169,169,A34,IND,8th Av - Fulton St,Canal St,M,A C E,Subway,40.720824,-74.005229,10013
168,170,624,A36,IND,8th Av - Fulton St,Chambers St,M,A C,Subway,40.714110999999995,-74.008585,10007
169,171,624,E01,IND,8th Av - Fulton St,World Trade Center,M,E,Subway,40.712582,-74.009781,10007
170,172,628,A38,IND,8th Av - Fulton St,Fulton St,M,A C,Subway,40.710196999999994,-74.00769100000001,10038
171,173,173,A40,IND,8th Av - Fulton St,High St,Bk,A C,Subway,40.699337,-73.990531,11201
172,174,636,A41,IND,8th Av - Fulton St,Jay St - MetroTech,Bk,A C F,Subway,40.692338,-73.987342,11201
173,175,175,A42,IND,8th Av - Fulton St,Hoyt - Schermerhorn Sts,Bk,A C G,Subway,40.688484,-73.985001,11201
174,176,176,A43,IND,8th Av - Fulton St,Lafayette Av,Bk,C,Subway,40.686113,-73.973946,11207
175,177,177,A44,IND,8th Av - Fulton St,Clinton - Washington Avs,Bk,C,Subway,40.683263000000004,-73.965838,11238
176,178,627,A45,IND,8th Av - Fulton St,Franklin Av,Bk,C,Subway,40.68138,-73.956848,11238
177,179,179,A46,IND,8th Av - Fulton St,Nostrand Av,Bk,A C,Subway,40.680438,-73.95042600000001,11216
178,180,180,A47,IND,8th Av - Fulton St,Kingston - Throop Avs,Bk,C,Subway,40.679921,-73.94085799999999,11216
179,181,181,A48,IND,8th Av - Fulton St,Utica Av,Bk,A C,Subway,40.679364,-73.930729,11233
180,182,182,A49,IND,8th Av - Fulton St,Ralph Av,Bk,C,Subway,40.678822,-73.92078599999999,11233
181,183,183,A50,IND,8th Av - Fulton St,Rockaway Av,Bk,C,Subway,40.678340000000006,-73.911946,11233
182,184,621,A51,IND,8th Av - Fulton St,Broadway Jct,Bk,A C,Subway,40.678334,-73.905316,11233
183,185,185,A52,IND,8th Av - Fulton St,Liberty Av,Bk,C,Subway,40.674541999999995,-73.896548,11207
184,186,186,A53,IND,8th Av - Fulton St,Van Siclen Av,Bk,C,Subway,40.672709999999995,-73.89035799999999,11207
185,187,187,A54,IND,8th Av - Fulton St,Shepherd Av,Bk,C,Subway,40.67413,-73.88075,11208
186,188,188,A55,IND,8th Av - Fulton St,Euclid Av,Bk,A C,Subway,40.675377000000005,-73.872106,11208
187,189,189,A57,IND,Liberty Av,Grant Av,Bk,A,Subway,40.677044,-73.86505,11208
188,190,190,A59,IND,Liberty Av,80 St,Q,A,Elevated,40.679371,-73.858992,11416
189,191,191,A60,IND,Liberty Av,88 St,Q,A,Elevated,40.679843,-73.85146999999999,11417
190,192,192,A61,IND,Liberty Av,Rockaway Blvd,Q,A,Elevated,40.680429,-73.843853,11417
191,193,193,A63,IND,Liberty Av,104 St,Q,A,Elevated,40.681711,-73.837683,11417
192,194,194,A64,IND,Liberty Av,111 St,Q,A,Elevated,40.684331,-73.832163,11419
193,195,195,A65,IND,Liberty Av,Ozone Park - Lefferts Blvd,Q,A,Elevated,40.685951,-73.82579799999999,11419
194,196,196,H01,IND,Rockaway,Aqueduct Racetrack,Q,A,At Grade,40.672096999999994,-73.83591899999999,11422
195,197,197,H02,IND,Rockaway,Aqueduct - N Conduit Av,Q,A,At Grade,40.668234000000005,-73.834058,11422
196,198,198,H03,IND,Rockaway,Howard Beach - JFK Airport,Q,A,At Grade,40.660476,-73.830301,11414
197,199,199,H04,IND,Rockaway,Broad Channel,Q,A S,At Grade,40.608382,-73.815925,11693
198,200,200,H12,IND,Rockaway,Beach 90 St,Q,A S,Viaduct,40.588034,-73.813641,11693
199,201,201,H13,IND,Rockaway,Beach 98 St,Q,A S,Viaduct,40.585307,-73.82055799999999,11694
200,202,202,H14,IND,Rockaway,Beach 105 St,Q,A S,Viaduct,40.583209000000004,-73.827559,11694
201,203,203,H15,IND,Rockaway,Rockaway Park - Beach 116 St,Q,A S,At Grade,40.580903,-73.835592,11694
202,204,204,H06,IND,Rockaway,Beach 67 St,Q,A,Viaduct,40.590927,-73.796924,11694
203,205,205,H07,IND,Rockaway,Beach 60 St,Q,A,Viaduct,40.592374,-73.788522,11692
204,206,206,H08,IND,Rockaway,Beach 44 St,Q,A,Viaduct,40.592943,-73.776013,11691
205,207,207,H09,IND,Rockaway,Beach 36 St,Q,A,Viaduct,40.595397999999996,-73.768175,11691
206,208,208,H10,IND,Rockaway,Beach 25 St,Q,A,Viaduct,40.600066,-73.761353,11691
207,209,209,H11,IND,Rockaway,Far Rockaway - Mott Av,Q,A,Viaduct,40.603995,-73.75540500000001,11691
208,210,210,D01,IND,Concourse,Norwood - 205 St,Bx,D,Subway,40.874811,-73.878855,10467
209,211,211,D03,IND,Concourse,Bedford Park Blvd,Bx,B D,Subway,40.873244,-73.88713800000001,10458
210,212,212,D04,IND,Concourse,Kingsbridge Rd,Bx,B D,Subway,40.866978,-73.893509,10458
211,213,213,D05,IND,Concourse,Fordham Rd,Bx,B D,Subway,40.861296,-73.897749,10458
212,214,214,D06,IND,Concourse,182-183 Sts,Bx,B D,Subway,40.856093,-73.900741,10453
213,215,215,D07,IND,Concourse,Tremont Av,Bx,B D,Subway,40.85041,-73.905227,10453
214,216,216,D08,IND,Concourse,174-175 Sts,Bx,B D,Subway,40.8459,-73.910136,10457
215,217,217,D09,IND,Concourse,170 St,Bx,B D,Subway,40.839306,-73.9134,10452
216,218,218,D10,IND,Concourse,167 St,Bx,B D,Subway,40.833771,-73.91844,10456
217,219,604,D11,IND,Concourse,161 St - Yankee Stadium,Bx,B D,Subway,40.827905,-73.925651,10452
218,220,220,D12,IND,Concourse,155 St,M,B D,Subway,40.830135,-73.938209,10039
219,221,221,B04,IND,63rd St,21 St - Queensbridge,Q,F,Subway,40.754203000000004,-73.942836,11101
220,222,222,B06,IND,63rd St,Roosevelt Island,M,F,Subway,40.759145000000004,-73.95326,10021
221,223,223,B08,IND,63rd St,Lexington Av/63 St,M,F Q,Subway,40.764629,-73.966113,10021
222,224,224,B10,IND,6th Av - Culver,57 St,M,F,Subway,40.763971999999995,-73.97745,10019
223,225,225,D15,IND,6th Av - Culver,47-50 Sts - Rockefeller Ctr,M,B D F M,Subway,40.758663,-73.981329,10036
224,226,609,D16,IND,6th Av - Culver,42 St - Bryant Pk,M,B D F M,Subway,40.754222,-73.984569,10036
225,227,607,D17,IND,6th Av - Culver,34 St - Herald Sq,M,B D F M,Subway,40.749719,-73.98782299999999,10001
226,228,228,D18,IND,6th Av - Culver,23 St,M,F M,Subway,40.742878000000005,-73.99282099999999,10019
227,229,601,D19,IND,6th Av - Culver,14 St,M,F M,Subway,40.738228,-73.996209,10011-6832
228,230,619,D21,IND,6th Av - Culver,Broadway-Lafayette St,M,B D F M,Subway,40.725297,-73.996204,10002
229,231,231,D22,IND,6th Av - Culver,Grand St,M,B D,Subway,40.718267,-73.993753,10002
230,232,232,F14,IND,6th Av - Culver,2 Av,M,F,Subway,40.723402,-73.989938,10003
231,233,625,F15,IND,6th Av - Culver,Delancey St,M,F,Subway,40.718610999999996,-73.988114,10002
232,234,234,F16,IND,6th Av - Culver,East Broadway,M,F,Subway,40.713715,-73.990173,10002
233,235,235,F18,IND,6th Av - Culver,York St,Bk,F,Subway,40.701397,-73.986751,11201
234,236,236,F20,IND,6th Av - Culver,Bergen St,Bk,F G,Subway,40.686145,-73.99086199999999,11201
235,237,237,F21,IND,6th Av - Culver,Carroll St,Bk,F G,Subway,40.680303,-73.995048,11231
236,238,238,F22,IND,6th Av - Culver,Smith - 9 Sts,Bk,F G,Viaduct,40.67358,-73.995959,11215
237,239,608,F23,IND,6th Av - Culver,4 Av,Bk,F G,Viaduct,40.670272,-73.989779,11215
238,240,240,F24,IND,6th Av - Culver,7 Av,Bk,F G,Subway,40.666271,-73.980305,11215
239,241,241,F25,IND,6th Av - Culver,15 St - Prospect Park,Bk,F G,Subway,40.660365000000006,-73.979493,11215
240,242,242,F26,IND,6th Av - Culver,Fort Hamilton Pkwy,Bk,F G,Subway,40.650782,-73.975776,11218
241,243,243,F27,IND,6th Av - Culver,Church Av,Bk,F,Subway,40.644040999999994,-73.979678,11218
242,244,244,F29,IND,6th Av - Culver,Ditmas Av,Bk,F,Elevated,40.636119,-73.978172,11218
